CustomerID,Recency,Frequency,Monetary,Cluster
12450,155,8,197.88,5
12451,10,354,9035.52,0
12452,16,22,430.57,0
12453,133,43,707.09,0
12454,55,15,3528.34,0
12455,72,90,2466.86,0
12456,43,125,3181.04,0
12457,65,62,2363.23,0
12458,70,38,947.4,0
12461,93,35,826.88,0
12462,18,62,1189.59,0
12463,52,83,1344.78,0
12464,9,29,1212.05,0
12465,16,47,742.19,0
12468,187,38,729.54,5
12471,1,460,19824.05,0
12472,31,339,6572.11,0
12473,28,168,3938.55,0
12474,16,424,7375.79,0
12475,53,36,723.38,0
12476,15,233,6816.42,0
12477,22,300,13219.74,0
12478,3,36,680.99,0
12479,10,31,527.2,0
12480,27,154,3281.63,0
12481,22,217,5596.32,0
12483,16,75,2484.98,0
12484,32,346,4541.72,0
12488,9,55,1298.66,0
12489,335,15,334.93,5
12490,4,245,5417.93,0
12491,38,26,460.4,0
12492,62,20,263.21,0
12493,165,22,433.74,5
12494,15,77,1246.1,0
12497,81,14,1043.1,0
12498,20,23,403.7,0
12500,22,61,4257.82,0
12501,336,149,2169.39,5
12502,95,147,3723.87,0
12504,17,9,482.05,0
12506,232,23,73.5,5
12507,133,21,1304.81,0
12508,25,69,398.27,0
12509,283,7,176.5,5
12510,142,33,982.57,0
12512,65,34,138.03,0
12513,112,35,612.29,0
12514,266,51,1017.68,5
12515,352,16,383.7,5
12516,77,26,1312.06,0
12517,27,284,2502.84,0
12518,0,124,2056.89,0
12519,63,18,340.84,0
12520,78,152,2634.26,0
12521,142,38,599.68,0
12522,38,12,192.72,0
12523,18,106,1789.77,0
12524,8,144,4485.72,0
12526,0,71,1316.66,0
12527,81,18,348.71,0
12528,8,92,1933.48,0
12530,59,66,1662.28,0
12531,14,17,125.22,0
12532,29,16,349.83,0
12534,130,63,1089.18,0
12535,91,34,716.35,0
12536,42,261,12601.83,0
12538,28,21,363.95,0
12539,21,273,5568.35,0
12540,19,478,13400.24,0
12541,29,52,981.18,0
12544,35,19,372.7,0
12545,74,50,1000.39,0
12546,46,69,1161.5,0
12547,197,8,207.8,5
12548,165,5,95.2,5
12550,78,57,964.83,0
12551,357,10,168,5
12552,38,20,437.82,0
12553,7,191,3692.28,0
12556,49,121,603.71,0
12557,15,33,11990.96,0
12558,7,11,269.96,0
12559,310,21,561.71,5
12560,4,105,2134.01,0
12561,302,16,238.85,5
12562,7,168,3781.74,0
12564,260,21,456.9,5
12565,288,9,145.92,5
12566,85,19,351.65,0
12567,22,446,9401.28,0
12569,1,188,4124.69,0
12571,39,34,519.61,0
12572,8,60,1020.42,0
12573,226,28,160.54,5
12574,315,11,218.45,5
12576,35,88,1315.83,0
12577,34,147,657.8,0
12578,20,114,2794.51,0
12579,77,29,440.42,0
12580,246,24,415.7,5
12581,39,15,197.71,0
12582,238,22,511.36,5
12583,2,247,7281.38,0
12584,3,96,2338.15,0
12585,233,87,2040.1,5
12586,16,11,196.94,0
12587,7,4,144,0
12588,38,10,214.9,0
12589,28,35,646.68,0
12590,210,68,9864.26,5
12591,316,26,452.85,5
12592,91,18,437.6,0
12593,108,21,418.1,0
12594,37,118,3338.22,0
12596,50,27,618.27,0
12597,18,206,3811.22,0
12598,9,132,3023.08,0
12599,28,62,1032.58,0
12600,28,64,2599.04,0
12601,189,28,577.06,5
12602,58,12,153.12,0
12603,21,2,739.2,0
12604,78,16,254.18,0
12607,59,101,1579.51,0
12609,77,60,1126.85,0
12610,22,106,2099.54,0
12611,51,65,1193.32,0
12612,73,19,704.04,0
12613,56,153,3344.38,0
12614,277,20,315.6,5
12615,1,105,2291.19,0
12616,94,32,713.3,0
12617,28,42,355.53,0
12618,21,11,177.31,0
12619,15,90,3641.24,0
12620,14,92,1339.41,0
12621,1,467,13689.67,0
12622,231,11,180.1,5
12623,275,18,305.1,5
12624,105,38,641.13,0
12625,211,86,2683.82,5
12626,22,294,6620.48,0
12627,10,230,4478.53,0
12628,3,41,786.46,0
12630,9,64,1270.88,0
12631,56,31,640.5,0
12633,58,101,2163.98,0
12635,89,101,1689.18,0
12637,66,390,6021.9,0
12638,32,39,671.69,0
12639,238,22,486.1,5
12640,23,53,1174.58,0
12641,114,10,185.9,0
12642,24,47,1013.26,0
12643,127,24,3344.64,0
12644,129,31,477.91,0
12645,33,73,1775.18,0
12646,4,45,1346.97,0
12647,21,121,3722.82,0
12648,154,21,318.05,5
12649,106,31,623.51,0
12650,2,20,314.44,0
12651,334,9,114,5
12652,330,48,919.98,5
12653,148,43,2209.85,5
12654,10,38,601.98,0
12656,16,126,4051.17,0
12657,10,47,1643.18,0
12658,18,36,686.05,0
12659,29,5,91.68,0
12660,10,13,245.1,0
12662,0,230,3849.78,0
12664,7,37,4881.88,0
12665,324,3,63,5
12667,57,33,620.13,0
12668,11,161,3807.15,0
12669,150,101,2744.03,0
12670,9,92,2996.05,0
12672,329,10,225.9,5
12673,4,42,610.52,0
12674,38,83,1970.6,0
12676,24,45,1331.39,0
12678,41,165,17628.46,0
12679,58,48,1113.02,0
12680,0,52,862.81,0
12681,14,638,13787.54,0
12682,3,525,12288.22,0
12683,3,344,8476.57,0
12684,7,105,2283.63,0
12685,27,157,2863.08,0
12686,371,7,89.14,5
12688,113,171,4873.81,0
12689,25,72,1247.61,0
12690,205,16,389.01,5
12691,27,32,1035.8,0
12693,126,39,855.91,0
12694,69,37,869.67,0
12695,6,27,582.1,0
12697,28,41,957.59,0
12700,7,268,4939.99,0
12701,79,53,797.71,0
12702,19,12,219,0
12703,70,21,283.55,0
12704,6,88,2340.84,0
12705,14,334,6868.29,0
12707,291,33,603.42,5
12708,29,157,2712.91,0
12709,14,208,9736.52,0
12710,96,77,1149.02,0
12712,28,133,4396.13,0
12713,0,38,848.55,0
12714,8,259,4708.86,0
12715,105,21,353.86,0
12716,3,69,1053.49,0
12717,150,55,1030.98,5
12718,70,19,238.25,0
12719,4,39,644.95,0
12720,2,354,5781.73,0
12721,31,161,2656.13,0
12722,84,53,997.63,0
12723,3,69,725.07,0
12724,4,53,1031.41,0
12725,370,24,427.8,5
12726,27,124,2609.1,0
12727,10,139,3980.7,0
12728,70,46,836.33,0
12729,113,26,453.01,0
12731,23,274,18895.91,0
12732,179,12,236.26,5
12733,233,22,383.95,5
12734,352,4,110.4,5
12735,314,43,779.57,5
12736,332,4,234,5
12738,371,11,155.35,5
12739,77,38,1013.04,0
12740,63,27,427.6,0
12743,133,134,546.43,0
12744,51,222,21279.29,0
12747,1,103,4196.01,0
12748,0,4595,33719.73,2
12749,3,199,4090.88,0
12750,128,15,275.88,0
12752,80,53,4366.78,0
12753,22,197,21429.39,0
12754,235,63,3010.74,5
12755,280,4,3811.95,5
12756,86,4,112.08,0
12757,15,371,7857.1,0
12758,116,97,2791.59,0
12759,51,95,1531.44,0
12762,7,69,1898.52,0
12763,137,18,494.08,0
12764,316,45,1693.88,5
12766,3,310,6989.63,0
12769,238,32,1143.6,5
12770,210,12,1351.45,5
12772,59,55,892.47,0
12775,16,66,1386.04,0
12778,19,50,822.23,0
12779,37,149,3981.36,0
12781,63,25,826.74,0
12782,4,103,2330.92,0
12783,1,84,2225.91,0
12784,8,59,574.42,0
12785,363,14,311.95,5
12787,9,20,463.66,0
12789,64,4,91.85,0
12790,191,21,324.92,5
12791,373,2,192.6,5
12792,256,25,400.54,5
12793,334,24,545.48,5
12794,52,45,860.41,0
12795,18,14,430.48,0
12797,365,13,254.03,5
12798,9,8,6977.04,0
12802,186,25,427.58,5
12808,36,28,483.65,0
12809,177,25,489.31,5
12811,260,31,514.85,5
12812,44,15,229.64,0
12814,101,2,125.92,0
12815,147,47,1063.46,5
12816,95,29,572.2,0
12817,280,4,166.04,5
12818,261,14,1542.08,5
12820,2,59,942.34,0
12821,213,6,92.72,5
12822,70,46,948.88,0
12823,74,5,1759.5,0
12824,59,25,397.12,0
12826,2,91,1474.72,0
12827,5,25,430.15,0
12828,2,56,1018.71,0
12829,336,11,293,5
12830,37,38,6814.64,0
12831,261,9,215.05,5
12832,31,27,383.03,0
12833,144,24,417.38,5
12834,282,18,312.38,5
12836,58,175,2612.86,0
12837,172,12,134.1,5
12838,33,123,683.13,0
12839,2,314,5591.42,0
12840,143,113,2726.77,0
12841,4,420,4022.35,0
12842,69,34,1118.99,0
12843,65,103,1702.26,0
12844,28,52,325.96,0
12845,266,27,354.09,5
12847,21,91,871.54,0
12849,30,51,1050.89,0
12851,96,50,135.18,0
12852,294,17,311.55,5
12853,134,78,1957.1,0
12854,78,110,1324.5,0
12855,372,3,38.1,5
12856,7,314,2179.93,0
12857,210,46,1106.4,5
12863,51,5,521.2,0
12864,137,3,147.12,0
12865,25,95,1568.23,0
12866,282,26,559.12,5
12867,25,538,4036.82,0
12868,185,107,1607.06,5
12871,83,11,380.64,0
12872,326,66,599.97,5
12873,281,4,374,5
12875,142,2,343.23,5
12876,57,85,2218.02,0
12877,3,154,1535.77,0
12878,235,47,854.99,5
12879,44,10,573.22,0
12881,275,7,298,5
12882,8,13,1463.04,0
12883,24,42,703.47,0
12884,87,7,309.05,0
12885,62,71,1175.22,0
12886,67,82,1378.4,0
12888,213,5,354.12,5
12890,23,82,380.47,0
12891,185,3,331,5
12893,30,34,188.14,0
12895,41,22,372.8,0
12897,204,4,216.5,5
12901,8,116,17654.54,0
12902,264,10,138.68,5
12904,17,72,509.58,0
12906,11,63,2919.81,0
12908,175,2,750,5
12909,39,91,2178.67,0
12910,22,75,3075.04,0
12912,2,24,1662.3,0
12913,4,50,2483.63,0
12915,148,22,363.65,5
12916,138,107,3006.15,0
12917,127,2,594,0
12919,7,50,1335.19,0
12920,16,28,164.23,0
12921,8,720,16587.09,0
12922,160,28,405.38,5
12923,63,29,176.97,0
12924,87,30,933.7,0
12925,4,45,694.05,0
12928,34,84,2062.7,0
12929,311,8,117.85,5
12930,77,25,415.8,0
12931,21,82,42055.96,0
12933,23,106,607.53,0
12935,1,129,2160.7,0
12936,16,62,1063.9,0
12937,14,120,1504.27,0
12938,25,9,114.14,0
12939,63,47,11581.8,0
12940,54,99,913.54,0
12942,130,75,683.9,0
12944,35,30,604.51,0
12945,287,23,462.95,5
12947,143,97,1603.99,0
12948,15,116,2064.95,0
12949,30,215,4167.22,0
12950,1,23,1843,0
12951,8,63,1064.07,0
12952,5,79,1387.79,0
12953,9,17,329.85,0
12955,0,180,4757.16,0
12956,305,19,108.07,5
12957,9,238,4017.54,0
12962,6,16,266.39,0
12963,7,95,1856.63,0
12965,88,109,771.91,0
12966,9,10,160.18,0
12967,357,19,1660.9,5
12968,111,5,135.95,0
12970,6,151,452.24,0
12971,3,305,11189.91,0
12974,197,8,144.8,5
12976,211,22,738.6,5
12977,155,9,39.24,5
12980,157,20,7374.9,5
12981,29,20,372.22,0
12982,242,28,390.54,5
12984,18,4,97.5,0
12985,0,76,1239.38,0
12987,73,28,558.7,0
12988,291,92,535.32,5
12989,2,64,6924.11,0
12990,30,13,409.5,0
12991,22,31,503.76,0
12993,22,27,414.76,0
12994,3,61,974.42,0
12995,84,3,211.32,0
12997,21,59,1226.89,0
12999,195,28,455.88,5
13000,106,31,534.85,0
13001,3,339,9818.82,0
13002,317,7,120.95,5
13003,105,6,149.05,0
13004,11,404,5655.91,0
13005,173,26,513.7,5
13006,55,4,81.57,0
13008,322,14,229.47,5
13011,371,3,50.55,5
13012,8,89,1661.84,0
13013,0,219,4810.94,0
13014,10,109,3466.28,0
13015,52,176,3346.28,0
13016,72,47,789.89,0
13017,6,1,204,0
13018,15,458,7277.7,0
13021,3,131,2616.38,0
13023,63,40,689.9,0
13026,0,40,975.36,0
13027,113,26,6912,0
13028,22,45,661.32,0
13029,30,10,1247.5,0
13030,10,99,799.48,0
13032,51,71,1010.18,0
13033,356,11,190.55,5
13034,54,37,642.77,0
13035,73,27,921.88,0
13037,137,48,881.07,0
13038,79,28,908.46,0
13040,8,43,676.99,0
13043,272,13,516.42,5
13044,290,33,560.47,5
13045,98,18,305.28,0
13046,30,35,629.31,0
13047,31,172,3237.54,0
13048,13,136,1835.91,0
13049,63,14,656.68,0
13050,14,403,5836.86,0
13052,211,18,348.15,5
13055,77,76,1214.41,0
13058,24,8,271.4,0
13059,249,8,183.4,5
13060,253,15,307.53,5
13061,71,10,248.61,0
13062,190,11,346.98,5
13064,12,69,1119.49,0
13065,372,14,205.86,5
13066,23,48,470.8,0
13067,81,15,115.46,0
13068,9,2,344,0
13069,0,425,4436.12,0
13070,191,9,228.8,5
13072,266,7,177.15,5
13075,129,22,919.61,0
13077,0,112,729.27,0
13078,2,358,12627.94,0
13079,3,6,220.1,0
13080,178,6,58.08,5
13081,11,1024,28337.38,0
13082,125,73,3613.63,0
13083,3,18,303.75,0
13085,157,22,416.08,5
13089,2,1818,58825.83,0
13090,8,155,8910.82,0
13091,27,21,345.82,0
13092,70,25,477.83,0
13093,275,159,7832.47,5
13094,20,24,1927.32,0
13095,70,6,74.4,0
13097,32,423,6010.42,0
13098,0,572,28882.44,0
13099,98,1,207.36,0
13101,233,8,101.19,5
13102,0,304,6424.09,0
13103,39,8,243.94,0
13104,2,20,1098.48,0
13106,132,1,76.5,0
13107,43,58,1531.62,0
13108,372,10,350.06,5
13109,59,47,786.54,0
13110,30,145,1488.67,0
13113,0,200,12245.96,0
13115,11,120,2294.78,0
13116,137,30,501.14,0
13117,21,76,984.91,0
13118,19,79,1197.81,0
13120,238,1,30.6,5
13121,268,50,283.73,5
13122,93,55,922.39,0
13124,89,235,3866.33,0
13126,4,140,2099.64,0
13127,77,15,259.17,0
13130,93,2,64,0
13131,22,44,1073.3,0
13132,261,3,77.3,5
13133,273,7,109.8,5
13134,85,98,1793.58,0
13135,196,1,3096,5
13136,55,127,2607.61,0
13137,10,704,3650.41,0
13138,21,63,962.39,0
13139,15,170,5064.94,0
13140,107,46,423.72,0
13141,84,135,2388.75,0
13142,18,23,307.09,0
13144,332,3,110.95,5
13145,39,6,618.52,0
13146,25,17,228.91,0
13147,9,4,712.8,0
13148,28,319,3707.12,0
13149,13,86,1676.06,0
13151,295,74,1257.87,5
13153,5,15,486.22,0
13155,32,85,971.76,0
13157,48,87,1741.22,0
13158,94,79,1201.06,0
13159,8,121,1437.85,0
13160,21,4,91.8,0
13161,312,8,112.75,5
13162,121,79,1688.29,0
13165,45,42,1021.48,0
13166,282,41,417.2,5
13167,18,65,791.33,0
13168,35,131,1319.19,0
13169,63,13,712.88,0
13170,26,32,116.01,0
13171,21,46,468.41,0
13173,3,43,353.65,0
13174,15,314,2817.03,0
13176,45,72,492.84,0
13177,64,17,282.45,0
13178,25,265,5725.47,0
13182,44,11,121.18,0
13183,7,94,3957.78,0
13184,14,181,1701.29,0
13185,267,1,71.4,5
13186,39,79,1575.89,0
13187,336,37,236.02,5
13188,10,2,114.6,0
13189,18,29,260.68,0
13192,94,63,911.94,0
13193,60,29,117.88,0
13194,135,3,60.7,0
13196,10,110,1797.78,0
13198,9,226,3401.24,0
13199,3,119,9817.12,0
13200,18,46,870.09,0
13203,9,57,869.46,0
13207,14,8,250.26,0
13208,58,149,1223.9,0
13209,29,321,5891.61,0
13210,93,22,353.48,0
13211,9,56,1197.42,0
13212,19,142,788.08,0
13213,56,90,1520.58,0
13216,267,5,333.74,5
13217,121,4,533.98,0
13218,126,5,62.64,0
13220,77,21,819.29,0
13221,239,66,847.41,5
13223,199,5,163.2,5
13224,59,108,2155.95,0
13225,2,32,6463.84,0
13226,272,16,108.21,5
13227,201,9,257.7,5
13228,80,2,358,0
13229,225,10,160.95,5
13230,3,611,2806.97,0
13232,12,207,1357.6,0
13233,73,43,605.12,0
13235,211,58,1031.07,5
13236,24,36,744.85,0
13238,16,31,700.73,0
13239,261,21,329.56,5
13240,95,67,663.65,0
13242,111,13,270.4,0
13243,202,58,600.07,5
13244,92,27,121.74,0
13245,50,16,430.5,0
13246,17,141,1987.3,0
13247,17,25,501.12,0
13248,124,26,465.68,0
13249,91,23,711.41,0
13253,156,36,1030.4,5
13255,8,13,399.51,0
13258,11,38,698.58,0
13259,61,87,292.32,0
13260,60,8,557.62,0
13261,268,9,944.1,5
13262,262,11,200.29,5
13263,0,1677,7454.07,0
13265,52,91,2107.66,0
13266,10,187,3834.26,0
13267,2,211,4521.49,0
13268,17,440,3214.69,0
13269,0,316,5346.23,0
13270,365,1,590,5
13271,36,96,217.38,0
13272,30,15,276.56,0
13273,112,16,138.98,0
13276,63,30,590.93,0
13277,15,8,258.4,0
13278,40,46,542.73,0
13279,77,9,137.75,0
13280,121,85,814.86,0
13282,17,37,1132.14,0
13283,59,7,93.66,0
13284,330,13,201.19,5
13285,22,187,2709.12,0
13291,155,42,361.11,5
13292,38,31,578.94,0
13294,189,54,873.74,5
13295,359,10,201.2,5
13296,136,5,87.4,0
13297,7,59,2089.85,0
13298,0,2,360,0
13299,267,5,142.5,5
13300,168,20,371.89,5
13301,103,81,618.09,0
13302,154,1,63.75,5
13304,350,21,300.42,5
13305,3,81,2000.86,0
13307,119,1,15,0
13308,22,54,1385.51,0
13309,6,107,1456.79,0
13310,27,72,1132.03,0
13311,3,26,598.57,0
13313,21,78,1555.32,0
13314,1,62,775.94,0
13316,36,87,5977.73,0
13317,65,124,2273.68,0
13318,0,20,640.76,0
13319,4,476,10845.55,0
13320,77,106,1548.7,0
13321,71,11,567.36,0
13322,16,25,199.48,0
13323,2,21,787.85,0
13324,35,75,7121.95,0
13325,81,12,675.3,0
13327,38,108,3627.77,0
13328,315,17,1308.48,5
13329,31,17,789,0
13330,92,53,1140.93,0
13332,13,21,350.9,0
13334,81,268,3536.82,0
13336,76,51,795.12,0
13338,157,19,487.02,5
13339,200,54,860.12,5
13340,44,134,10736.48,0
13341,260,42,775.85,5
13343,177,19,353.43,5
13344,67,119,2543.72,0
13345,287,20,389.5,5
13347,69,8,341.36,0
13348,63,14,233.76,0
13349,10,16,247.32,0
13350,15,40,979.12,0
13351,65,16,373.94,0
13352,59,24,397.98,0
13354,70,51,743.53,0
13355,121,32,674.7,0
13356,79,42,768.24,0
13357,256,90,609.95,5
13358,268,29,439.03,5
13359,63,23,439.56,0
13362,8,166,3090.74,0
13363,17,60,992.5,0
13364,70,10,134.96,0
13365,33,128,2225.37,0
13366,49,1,56.16,0
13368,256,29,623.4,5
13369,365,14,308.28,5
13370,371,39,754.87,5
13372,89,23,378.64,0
13373,60,158,3312.25,0
13375,88,37,778.65,0
13376,98,53,1019.76,0
13379,25,97,572.56,0
13381,31,172,3639.31,0
13382,280,15,222.99,5
13384,30,152,4151.93,0
13385,329,35,534.57,5
13388,130,35,677.1,0
13389,10,51,797.96,0
13390,74,13,544.08,0
13391,203,1,59.8,5
13394,1,155,2520.02,0
13395,184,21,307.72,5
13396,28,43,1360.99,0
13397,72,38,1544.13,0
13398,191,26,457.34,5
13402,126,39,621.23,0
13403,17,3,75,0
13404,0,11,252.49,0
13405,73,27,572.451,0
13408,1,478,28117.04,0
13410,23,28,1003.06,0
13411,106,18,213.55,0
13414,133,24,1390.5,0
13416,43,19,712.5,0
13417,4,28,640.83,0
13418,11,304,6127.43,0
13419,63,16,221.06,0
13420,149,8,159.85,5
13421,39,104,1851.08,0
13422,63,127,2626.3,0
13425,107,78,1624.21,0
13426,0,157,3641.32,0
13427,18,29,582.6,0
13428,9,74,218.47,0
13429,10,67,1006.8,0
13430,18,49,679.45,0
13431,66,46,1269.1,0
13434,73,10,534.24,0
13435,4,101,3809.89,0
13436,1,12,196.89,0
13437,13,167,3408.06,0
13439,254,54,283.71,5
13441,91,13,296.64,0
13447,22,59,1129.14,0
13448,16,195,3539.37,0
13449,23,19,291.88,0
13450,26,71,2043.72,0
13451,25,443,2976.15,0
13452,258,2,590,5
13453,165,17,356.98,5
13455,24,46,1058.34,0
13456,17,63,1766.72,0
13458,6,382,9646.57,0
13460,28,17,183.44,0
13461,38,27,1445,0
13462,252,9,151.5,5
13464,57,41,674.68,0
13466,183,17,307.9,5
13467,10,99,1083.71,0
13468,1,302,5704.97,0
13470,98,10,165,0
13471,0,260,2531.58,0
13473,60,21,422.64,0
13474,235,64,229.59,5
13475,190,86,1431.78,5
13476,178,58,1238.47,5
13477,37,79,1454.58,0
13479,200,15,300.95,5
13481,45,109,1804.56,0
13482,231,11,184.64,5
13483,65,10,140.34,0
13484,240,8,313.8,5
13485,232,23,454.24,5
13486,77,69,1122.41,0
13487,57,34,575.4,0
13488,16,422,8968.31,0
13489,104,14,449.52,0
13491,51,86,1215.82,0
13492,135,50,1269.84,0
13493,274,8,618.63,5
13494,311,18,316.26,5
13495,7,48,2044.87,0
13496,10,35,653.33,0
13497,282,19,348.05,5
13499,17,42,1159.11,0
13500,22,65,1166.77,0
13501,287,52,1340.32,5
13502,16,18,292,0
13503,70,17,216.85,0
13504,63,22,295.93,0
13505,72,215,4393.63,0
13506,315,26,458.52,5
13507,2,162,2479.16,0
13508,243,12,110.97,5
13509,8,44,979.72,0
13510,0,115,1791.56,0
13512,260,15,251.21,5
13513,126,10,205.1,0
13514,73,4,152.2,0
13515,72,59,891.12,0
13516,20,44,1389.41,0
13517,59,141,2128.42,0
13518,85,38,659.44,0
13519,77,8,122.75,0
13520,58,93,3624.35,0
13521,0,436,1093.65,0
13522,29,5,125.8,0
13523,32,172,3964.88,0
13524,40,27,680.18,0
13525,14,6,628.78,0
13527,33,223,2287.51,0
13529,78,15,307.76,0
13531,204,22,483.8,5
13532,33,66,210.31,0
13533,182,76,270.79,5
13534,1,296,5870.08,0
13536,0,179,3448.29,0
13538,42,25,1280.85,0
13539,85,37,631.34,0
13544,39,87,291.41,0
13546,11,98,626.99,0
13548,95,124,682.41,0
13549,25,51,918.2,0
13551,318,4,91.8,5
13552,65,109,3740.07,0
13555,73,136,4149.28,0
13557,27,34,584.06,0
13558,5,175,605.06,0
13560,6,33,174.37,0
13561,215,14,141.86,5
13562,81,82,1799.33,0
13563,83,49,777.53,0
13564,143,83,1749.02,0
13565,18,38,240.22,0
13566,40,176,874.71,0
13568,172,44,192.85,5
13569,16,85,373.75,0
13570,242,27,239.49,5
13571,12,341,2092.32,0
13572,205,33,1384.25,5
13573,49,26,294.4,0
13575,22,46,732.07,0
13576,9,126,6717.34,0
13577,24,83,1687.6,0
13579,14,23,467.04,0
13581,308,10,118,5
13583,155,53,781.03,5
13584,306,24,142.4,5
13587,63,8,712.4,0
13588,15,174,2478.95,0
13589,14,21,379.65,0
13590,10,87,1981.92,0
13591,64,58,1117.13,0
13592,35,16,247.96,0
13593,107,128,2037.08,0
13594,52,26,396.97,0
13596,5,166,697.04,0
13598,46,40,180.17,0
13599,0,247,5153.67,0
13600,311,19,219.52,5
13601,44,99,693.32,0
13602,64,23,428.89,0
13603,25,27,164.34,0
13606,28,43,280.54,0
13607,39,98,678.01,0
13610,11,226,1131.88,0
13611,88,74,1171.8,0
13614,23,201,1610.46,0
13615,318,23,417.69,5
13617,39,44,544.18,0
13618,173,13,177.34,5
13621,116,19,213.85,0
13623,30,81,747.78,0
13626,252,19,257.23,5
13627,58,92,1638.47,0
13629,22,59,7792.36,0
13630,4,71,2031.78,0
13631,99,11,3070.42,0
13632,24,146,2121.27,0
13634,32,188,1575.16,0
13635,67,62,1071.03,0
13636,36,63,949.12,0
13637,51,101,810.5,0
13638,15,8,122.64,0
13639,73,40,1033.34,0
13642,215,66,354.8,5
13643,30,28,519.44,0
13644,15,146,2624.26,0
13645,119,5,252.1,0
13647,9,79,1678.12,0
13649,256,23,346.6,5
13650,16,96,1836.34,0
13651,34,6,94.2,0
13652,45,63,1095.08,0
13654,42,166,2707.33,0
13655,113,56,932.97,0
13656,164,49,379.65,5
13657,10,16,382.14,0
13658,9,108,2639.17,0
13659,205,104,1573.2,5
13662,85,53,897.76,0
13663,178,13,189.47,5
13666,59,12,84.65,0
13667,148,87,305.02,5
13668,2,470,6363.59,0
13669,50,9,218.55,0
13670,74,25,349.7,0
13672,300,6,186.39,5
13673,18,65,396.92,0
13675,150,25,486.82,5
13678,151,16,232.6,5
13680,0,195,3722.42,0
13681,17,57,827.83,0
13682,186,3,59.5,5
13684,285,30,67.23,5
13685,2,39,3119.44,0
13686,182,8,72,5
13689,62,6,910,0
13690,58,9,172.25,0
13692,24,53,1488.32,0
13694,3,568,65039.62,0
13695,30,90,2504.13,0
13697,38,12,151.3,0
13699,154,14,308.58,5
13700,25,197,2265.12,0
13703,317,1,99.5,5
13704,4,134,2308.06,0
13705,7,28,711.86,0
13706,302,20,330.79,5
13707,266,48,806.41,5
13708,270,51,296.88,5
13709,3,336,6328.05,0
13710,31,8,180.48,0
13711,218,13,252.06,5
13712,246,10,228.84,5
13715,280,105,1079.34,5
13716,268,21,138.28,5
13717,31,102,1445.01,0
13718,245,12,306.55,5
13719,14,60,1041.68,0
13720,116,43,799.9,0
13721,35,28,524.14,0
13722,131,85,2375.41,0
13723,216,6,199.85,5
13725,49,104,1980.56,0
13726,38,42,1079.66,0
13727,28,20,333.48,0
13728,36,63,1016.14,0
13730,135,43,752.6,0
13731,218,38,610.59,5
13732,27,33,491.86,0
13735,24,196,2885.24,0
13736,4,191,731.9,0
13737,199,30,339.6,5
13739,17,3,216.9,0
13740,240,23,350.75,5
13741,71,34,668.43,0
13742,16,321,3131.02,0
13743,2,41,1341.6,0
13744,94,72,1156.36,0
13745,161,25,300.04,5
13747,373,1,79.6,5
13748,95,28,948.25,0
13750,53,24,1647.26,0
13751,287,9,296.25,5
13752,123,76,1186.28,0
13753,287,35,741.26,5
